_mb_row_id,Municipio,Categoria,Nome,Endereco,Latitude,Longitude
24,João Pessoa,Educação,Escola Estadual Escritor Horácio de Almeida,"R. Durval Coutinho, SN - Alto do Mateus, João Pessoa - PB, 58090-260",-7.14071526,-34.91255180
25,João Pessoa,Educação,ECI LILIOSA DE PAIVA LEITE,"R. Dom Bosco, S/N - Cristo Redentor, João Pessoa - PB, 58070-470",-7.15400511,-34.87791940
26,João Pessoa,Educação,ECI Compositor Luís Ramalho,"Rua Comerciante Alfredo Ferreira da Rocha, s/n - Mangabeira I, João Pessoa - PB, 58055-541",-7.16825586,-34.84237380
27,João Pessoa,Educação,ECI Profª Luzia Simões Bartollini,"R. Rad. Geraldo Campos, s/n - Jardim Planalto, João Pessoa - PB, 58088-060",-7.15978041,-34.90093340
28,João Pessoa,Educação,Escola Estadual Cidadã Integral Cônego Nicodemos Neves,"Lot. Santo Antonio, João Pessoa - PB, 58087-460",-7.15992986,-34.89289083
29,João Pessoa,Educação,ECI Padre Ibiapina,"R. João de Brito Lima Moura, 478 - Alto do Céu, João Pessoa - PB, 58027-240",-7.09938474,-34.86586795
30,João Pessoa,Educação,ECIT PAPA PAULO VI,"AV, R. Dep. José Tavares, S/N - Cruz das Armas, João Pessoa - PB, 58085-730",-7.15006322,-34.89355971
31,João Pessoa,Educação,ECIT Alice Carneiro,"Av. Sapé - Manaíra, João Pessoa - PB, 58038-381",-7.10516835,-34.83675453
32,João Pessoa,Educação,ECIT CINEASTA LINDUARTE NORONHA,"R. da Luz - Colinas do Sul, João Pessoa - PB, 58069-360",-7.19517142,-34.88085113
33,João Pessoa,Educação,Escola Estadual CÔNEGO FRANCISCO GOMES DE LIMA,"R. Dep. Petrônio Figueiredo, S/N - Ernesto Geisel, João Pessoa - PB, 58075-410",-7.17719491,-34.86930023
34,João Pessoa,Educação,ECIT DOM JOSE MARIA PIRES,"R. das Rosas, S/N - B - Bairro das Indústrias, João Pessoa - PB, 58083-332",-7.18301291,-34.91985183
35,João Pessoa,Educação,Escola Técnica Estadual de João Pessoa,"Av. Hilton Souto Maior, S/N - Mangabeira, João Pessoa - PB, 58055-018",-7.16323991,-34.82547993
36,João Pessoa,Educação,CEEEA Sesquicentenário,"R. Manoel França, s/n - Pedro Gondim, João Pessoa - PB, 58050-280",-7.11503755,-34.84687815
37,João Pessoa,Educação,Centro Estadual de Arte - Cearte,"Praça Aristides Lobo, 129 - Centro, João Pessoa - PB, 58010-320",-7.11912661,-34.88486373
